id,zipcode,city,state_abbr,city_state,state,lat,lon,population,median_age,household_income,per_capita_income,monthly_housing_cost,avg_household_size_by_tenure
0,00705,AIBONITO,PR,"AIBONITO, PR",,18.14,-66.26,24387.0,40.0,17893.0,9133.0,8526.0,2.86
1,00610,ANASCO,PR,"ANASCO, PR",,18.28,-67.14,27976.0,40.6,17751.0,8589.0,9210.0,3.02
3,00612,ARECIBO,PR,"ARECIBO, PR",,18.45,-66.73,63884.0,40.7,17208.0,9789.0,22931.0,2.76
4,00601,ADJUNTAS,PR,"ADJUNTAS, PR",,18.16,-66.72,17800.0,38.6,11507.0,7229.0,5959.0,2.98
6,00602,AGUADA,PR,"AGUADA, PR",,18.38,-67.18,39716.0,40.0,15511.0,8570.0,12785.0,3.1
7,00603,AGUADILLA,PR,"AGUADILLA, PR",,18.43,-67.15,51565.0,40.0,16681.0,10154.0,18828.0,2.63
10,00703,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,18.25,-66.1,27797.0,39.0,15276.0,9477.0,8790.0,3.14
11,00704,AGUIRRE,PR,"AGUIRRE, PR",,17.96,-66.22,8390.0,32.8,14528.0,7940.0,2938.0,2.83
12,07675,WESTWOOD,NJ,"WESTWOOD, NJ",New Jersey,40.98,-74.03,27082.0,44.0,115177.0,56385.0,9696.0,2.78
13,07677,WOODCLIFF LAKE,NJ,"WOODCLIFF LAKE, NJ",New Jersey,41.02,-74.05,5844.0,47.4,150862.0,77235.0,2114.0,2.71
14,07885,WHARTON,NJ,"WHARTON, NJ",New Jersey,40.89,-74.58,10262.0,38.1,74509.0,32609.0,3674.0,2.79
15,07981,WHIPPANY,NJ,"WHIPPANY, NJ",New Jersey,40.82,-74.41,9135.0,45.8,115133.0,50049.0,3459.0,2.64
18,08889,WHITEHOUSE STATION,NJ,"WHITEHOUSE STATION, NJ",New Jersey,40.6,-74.76,9928.0,46.5,130814.0,69215.0,3757.0,2.64
19,07095,WOODBRIDGE,NJ,"WOODBRIDGE, NJ",New Jersey,40.55,-74.28,19701.0,37.0,80523.0,35097.0,7348.0,2.67
20,07481,WYCKOFF,NJ,"WYCKOFF, NJ",New Jersey,40.99,-74.16,17119.0,45.0,143750.0,68967.0,5859.0,2.85
21,10451,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,48289.0,32.2,26419.0,17663.0,18489.0,2.6
22,10452,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,75288.0,31.0,25771.0,14136.0,25765.0,2.89
23,10453,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,80516.0,30.1,22914.0,12702.0,27240.0,2.89
24,10454,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,38938.0,28.3,21553.0,12325.0,12838.0,2.97
25,10455,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,42779.0,30.5,23962.0,12897.0,14225.0,2.92
