id,zipcode,city,state_abbr,city_state,state,lat,lon,population,median_age,household_income,per_capita_income,monthly_housing_cost,avg_household_size_by_tenure
0,00705,AIBONITO,PR,"AIBONITO, PR",,18.14,-66.26,25090.0,38.3,16744.0,8668.0,8581.0,2.92
1,00610,ANASCO,PR,"ANASCO, PR",,18.28,-67.14,28805.0,39.7,17265.0,8197.0,9449.0,3.04
3,00612,ARECIBO,PR,"ARECIBO, PR",,18.45,-66.73,66251.0,39.3,17752.0,10201.0,23463.0,2.79
4,00601,ADJUNTAS,PR,"ADJUNTAS, PR",,18.16,-66.72,18088.0,37.1,10833.0,7229.0,5820.0,3.1
6,00602,AGUADA,PR,"AGUADA, PR",,18.38,-67.18,40859.0,39.0,16353.0,9048.0,13046.0,3.12
7,00603,AGUADILLA,PR,"AGUADILLA, PR",,18.43,-67.15,53162.0,39.2,16323.0,9888.0,18020.0,2.85
10,00703,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,18.25,-66.1,28739.0,36.0,14968.0,8126.0,8996.0,3.17
11,00704,AGUIRRE,PR,"AGUIRRE, PR",,17.96,-66.22,8100.0,34.2,12341.0,7142.0,2992.0,2.68
12,07675,WESTWOOD,NJ,"WESTWOOD, NJ",New Jersey,40.98,-74.03,26753.0,44.3,104388.0,51224.0,9505.0,2.8
13,07677,WOODCLIFF LAKE,NJ,"WOODCLIFF LAKE, NJ",New Jersey,41.02,-74.05,5785.0,46.3,137724.0,69739.0,2077.0,2.73
14,07885,WHARTON,NJ,"WHARTON, NJ",New Jersey,40.89,-74.58,10315.0,40.3,77330.0,32659.0,3780.0,2.72
15,07981,WHIPPANY,NJ,"WHIPPANY, NJ",New Jersey,40.82,-74.41,9187.0,44.0,107261.0,45330.0,3389.0,2.7
18,08889,WHITEHOUSE STATION,NJ,"WHITEHOUSE STATION, NJ",New Jersey,40.6,-74.76,9831.0,44.9,124289.0,60011.0,3585.0,2.73
19,07095,WOODBRIDGE,NJ,"WOODBRIDGE, NJ",New Jersey,40.55,-74.28,20688.0,35.7,84110.0,34605.0,7436.0,2.77
20,07481,WYCKOFF,NJ,"WYCKOFF, NJ",New Jersey,40.99,-74.16,16877.0,44.1,141964.0,66733.0,5728.0,2.89
21,10451,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,47818.0,31.6,27197.0,15672.0,17862.0,2.67
22,10452,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,75252.0,30.4,24965.0,12942.0,25008.0,2.98
23,10453,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,79002.0,31.0,24741.0,12459.0,26059.0,2.97
24,10454,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,38751.0,28.6,19536.0,11429.0,12483.0,3.03
25,10455,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,39951.0,30.0,22996.0,12442.0,13690.0,2.83
26,10456,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,91737.0,29.7,22962.0,12157.0,29156.0,3.07
27,10457,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,71015.0,29.4,24883.0,12768.0,22819.0,3.0
28,10458,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,76276.0,29.4,24829.0,14046.0,25863.0,2.82
29,10459,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,48269.0,28.7,23400.0,12616.0,15427.0,3.08
30,10460,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,58676.0,30.0,23289.0,12795.0,19534.0,2.95
31,10461,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,52435.0,37.1,52230.0,27484.0,19506.0,2.62
32,10462,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,76114.0,35.0,45234.0,22296.0,28928.0,2.62
33,10463,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,71238.0,38.0,55354.0,31572.0,27725.0,2.48
34,10464,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,4532.0,48.4,75696.0,43196.0,2141.0,2.11
35,10465,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,46360.0,39.3,68831.0,30235.0,15956.0,2.8
36,10466,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,69657.0,36.1,42587.0,19944.0,22615.0,3.04
37,10467,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,99251.0,33.1,35852.0,18103.0,34861.0,2.8
38,10468,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,72683.0,31.9,33585.0,15710.0,24195.0,2.95
39,10469,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,72241.0,37.0,57680.0,23044.0,21837.0,3.19
40,10470,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,14880.0,36.0,58330.0,28926.0,5813.0,2.54
41,10471,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,21935.0,43.7,73684.0,41945.0,8848.0,2.15
42,10472,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,69659.0,31.3,30541.0,14970.0,21207.0,3.25
43,10473,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,59948.0,36.5,36729.0,19760.0,20427.0,2.92
44,10474,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,12223.0,29.9,26460.0,11609.0,3588.0,3.08
45,10475,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,44582.0,46.2,45886.0,26215.0,18255.0,2.36
47,10001,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,22767.0,34.4,81445.0,77512.0,11169.0,1.93
48,10002,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,79894.0,40.9,32966.0,26905.0,32550.0,2.4
49,10003,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,57068.0,32.2,97524.0,79088.0,27564.0,1.73
50,10004,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,3024.0,33.0,123409.0,98020.0,1580.0,1.9
51,10005,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,7570.0,28.8,121840.0,99633.0,4100.0,1.84
52,10006,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,2950.0,31.0,121316.0,97226.0,1686.0,1.74
53,10007,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,6748.0,34.9,250001.0,173257.0,2646.0,2.2
55,10009,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,61806.0,36.2,61154.0,44714.0,29860.0,2.04
56,10010,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,30708.0,35.7,100763.0,81938.0,16019.0,1.73
57,10011,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,52941.0,39.6,104974.0,111064.0,29921.0,1.7
58,10012,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,24846.0,34.5,95577.0,77712.0,12874.0,1.84
59,10013,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,26937.0,37.1,97228.0,96781.0,11501.0,2.15
60,10014,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,31835.0,37.0,109557.0,107342.0,18964.0,1.65
61,10016,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,50112.0,33.1,103960.0,87576.0,27939.0,1.74
62,10017,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,16278.0,37.3,102165.0,104324.0,10117.0,1.59
63,10018,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,8062.0,30.6,100298.0,76632.0,4060.0,1.92
64,10019,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,38752.0,39.7,90174.0,86447.0,23606.0,1.62
66,10021,NEW YORK,NY,"NEW YORK, NY",New York,40.77,-73.95,42142.0,40.3,109398.0,115478.0,23504.0,1.76
67,10022,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,29699.0,46.0,115604.0,132596.0,17552.0,1.66
68,10023,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,60762.0,41.8,111265.0,99916.0,32247.0,1.84
69,10024,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,59249.0,41.5,109784.0,97669.0,28943.0,2.01
70,10025,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,97373.0,39.3,71865.0,56151.0,43607.0,2.1
71,10026,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,38372.0,34.3,47318.0,30904.0,14481.0,2.58
72,10027,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,63057.0,30.4,40013.0,27977.0,22965.0,2.43
73,10028,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,46169.0,39.7,115485.0,111660.0,24848.0,1.85
74,10029,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,77857.0,33.5,31446.0,25577.0,29198.0,2.56
75,10030,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,29530.0,34.0,32561.0,23064.0,12008.0,2.41
76,10031,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,58912.0,33.4,38338.0,22954.0,20969.0,2.79
77,10032,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,59069.0,34.6,35979.0,19137.0,19821.0,2.92
78,10033,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,60520.0,35.9,44595.0,23976.0,19595.0,3.04
79,10034,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,42672.0,36.4,42522.0,22776.0,15252.0,2.79
82,00714,ARROYO,PR,"ARROYO, PR",,17.97,-66.06,19229.0,36.2,15901.0,8006.0,6237.0,3.08
83,00616,BAJADERO,PR,"BAJADERO, PR",,18.4,-66.66,10466.0,41.6,15115.0,8533.0,3660.0,2.85
84,00617,BARCELONETA,PR,"BARCELONETA, PR",,18.45,-66.53,24917.0,36.6,15461.0,8024.0,8308.0,2.99
85,00794,BARRANQUITAS,PR,"BARRANQUITAS, PR",,18.18,-66.3,30462.0,33.7,14998.0,7564.0,9347.0,3.23
86,00622,BOQUERON,PR,"BOQUERON, PR",,17.99,-67.15,6589.0,41.6,14993.0,9611.0,2361.0,2.77
87,00623,CABO ROJO,PR,"CABO ROJO, PR",,18.08,-67.14,44117.0,40.2,17044.0,9075.0,14104.0,3.12
88,00627,CAMUY,PR,"CAMUY, PR",,18.48,-66.84,34438.0,38.4,19490.0,9493.0,11543.0,2.97
89,00729,CANOVANAS,PR,"CANOVANAS, PR",,18.37,-65.9,54198.0,35.9,21243.0,10328.0,16515.0,3.27
90,00979,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,16157.0,46.9,38187.0,26440.0,7672.0,2.1
92,00982,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,15132.0,42.2,26370.0,13530.0,5898.0,2.56
93,00983,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,40273.0,38.3,27834.0,14276.0,14694.0,2.74
95,00985,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,35236.0,40.4,24514.0,12777.0,12930.0,2.71
97,00987,CAROLINA,PR,"CAROLINA, PR",,18.4,-65.98,60544.0,36.3,31599.0,14202.0,20982.0,2.87
99,00736,CAYEY,PR,"CAYEY, PR",,18.11,-66.16,51116.0,38.6,21023.0,11989.0,17444.0,2.92
100,00739,CIDRA,PR,"CIDRA, PR",,18.17,-66.15,38424.0,37.2,23629.0,11931.0,12459.0,3.07
101,00769,COAMO,PR,"COAMO, PR",,18.08,-66.36,39871.0,36.6,18053.0,9384.0,13411.0,2.96
102,00782,COMERIO,PR,"COMERIO, PR",,18.22,-66.22,18595.0,36.3,13472.0,7308.0,5829.0,3.19
103,00783,COROZAL,PR,"COROZAL, PR",,18.34,-66.31,35856.0,35.8,16860.0,7812.0,10812.0,3.3
107,00659,HATILLO,PR,"HATILLO, PR",,18.48,-66.82,41830.0,38.4,19130.0,9632.0,13982.0,2.98
108,00660,HORMIGUEROS,PR,"HORMIGUEROS, PR",,18.14,-67.12,17023.0,43.0,21323.0,10700.0,6444.0,2.62
109,00791,HUMACAO,PR,"HUMACAO, PR",,18.15,-65.81,51757.0,39.2,20357.0,11062.0,17018.0,3.01
111,00662,ISABELA,PR,"ISABELA, PR",,18.5,-67.02,43101.0,38.9,16050.0,8584.0,14862.0,2.88
112,00664,JAYUYA,PR,"JAYUYA, PR",,18.22,-66.59,16298.0,34.5,15976.0,7410.0,4748.0,3.42
113,00795,JUANA DIAZ,PR,"JUANA DIAZ, PR",,18.05,-66.5,47106.0,36.4,18890.0,9163.0,15706.0,2.99
114,00777,JUNCOS,PR,"JUNCOS, PR",,18.22,-65.91,40863.0,35.4,19398.0,9582.0,13096.0,3.1
115,00728,PONCE,PR,"PONCE, PR",,17.98,-66.6,42333.0,35.9,17689.0,9185.0,13680.0,2.93
116,00725,CAGUAS,PR,"CAGUAS, PR",,18.23,-66.03,88152.0,38.1,20704.0,11448.0,31095.0,2.81
118,00727,CAGUAS,PR,"CAGUAS, PR",,18.23,-66.03,57036.0,38.3,29304.0,15475.0,20329.0,2.79
