id,zipcode,city,state_abbr,city_state,state,lat,lon,population,median_age,household_income,per_capita_income,monthly_housing_cost,avg_household_size_by_tenure
0,00705,AIBONITO,PR,"AIBONITO, PR",,18.14,-66.26,23831.0,40.6,18207.0,10172.0,8529.0,2.79
1,00610,ANASCO,PR,"ANASCO, PR",,18.28,-67.14,27590.0,41.4,18741.0,9266.0,9120.0,3.01
3,00612,ARECIBO,PR,"ARECIBO, PR",,18.45,-66.73,62566.0,41.4,17744.0,10283.0,23037.0,2.69
4,00601,ADJUNTAS,PR,"ADJUNTAS, PR",,18.16,-66.72,17599.0,38.9,11757.0,7041.0,5818.0,3.01
6,00602,AGUADA,PR,"AGUADA, PR",,18.38,-67.18,39209.0,40.9,16190.0,8978.0,12719.0,3.08
7,00603,AGUADILLA,PR,"AGUADILLA, PR",,18.43,-67.15,50135.0,40.4,16645.0,10897.0,19009.0,2.53
10,00703,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,18.25,-66.1,27137.0,40.2,16532.0,10235.0,8642.0,3.12
11,00704,AGUIRRE,PR,"AGUIRRE, PR",,17.96,-66.22,7842.0,36.0,13960.0,7585.0,2803.0,2.78
12,07675,WESTWOOD,NJ,"WESTWOOD, NJ",New Jersey,40.98,-74.03,27300.0,44.2,119748.0,59705.0,9849.0,2.76
13,07677,WOODCLIFF LAKE,NJ,"WOODCLIFF LAKE, NJ",New Jersey,41.02,-74.05,5868.0,46.7,161250.0,82266.0,2053.0,2.81
14,07885,WHARTON,NJ,"WHARTON, NJ",New Jersey,40.89,-74.58,10544.0,38.9,79222.0,35589.0,3821.0,2.75
15,07981,WHIPPANY,NJ,"WHIPPANY, NJ",New Jersey,40.82,-74.41,9060.0,45.9,112534.0,51214.0,3443.0,2.62
18,08889,WHITEHOUSE STATION,NJ,"WHITEHOUSE STATION, NJ",New Jersey,40.6,-74.76,9359.0,48.5,134387.0,75120.0,3743.0,2.5
19,07095,WOODBRIDGE,NJ,"WOODBRIDGE, NJ",New Jersey,40.55,-74.28,19511.0,37.4,80196.0,34906.0,7221.0,2.69
20,07481,WYCKOFF,NJ,"WYCKOFF, NJ",New Jersey,40.99,-74.16,17231.0,44.5,147463.0,71211.0,5827.0,2.88
