id,zipcode,city,state_abbr,city_state,state,lat,lon,population,median_age,household_income,per_capita_income,monthly_housing_cost,avg_household_size_by_tenure
0,00705,AIBONITO,PR,"AIBONITO, PR",,18.14,-66.26,24717.0,39.8,17238.0,8802.0,8614.0,2.87
1,00610,ANASCO,PR,"ANASCO, PR",,18.28,-67.14,28328.0,40.2,17475.0,8452.0,9404.0,3.0
3,00612,ARECIBO,PR,"ARECIBO, PR",,18.45,-66.73,64816.0,39.9,17229.0,9922.0,22971.0,2.79
4,00601,ADJUNTAS,PR,"ADJUNTAS, PR",,18.16,-66.72,17982.0,37.6,10816.0,7453.0,5972.0,3.0
6,00602,AGUADA,PR,"AGUADA, PR",,18.38,-67.18,40260.0,39.5,16079.0,8474.0,12968.0,3.1
7,00603,AGUADILLA,PR,"AGUADILLA, PR",,18.43,-67.15,52408.0,39.9,16804.0,10179.0,18674.0,2.71
10,00703,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,18.25,-66.1,28165.0,37.5,14680.0,8252.0,8968.0,3.12
11,00704,AGUIRRE,PR,"AGUIRRE, PR",,17.96,-66.22,8007.0,34.7,13756.0,7829.0,3024.0,2.62
12,07675,WESTWOOD,NJ,"WESTWOOD, NJ",New Jersey,40.98,-74.03,26975.0,44.2,107295.0,53732.0,9599.0,2.8
13,07677,WOODCLIFF LAKE,NJ,"WOODCLIFF LAKE, NJ",New Jersey,41.02,-74.05,5818.0,46.8,139857.0,76765.0,2088.0,2.74
14,07885,WHARTON,NJ,"WHARTON, NJ",New Jersey,40.89,-74.58,10701.0,38.6,73103.0,32066.0,3886.0,2.75
15,07981,WHIPPANY,NJ,"WHIPPANY, NJ",New Jersey,40.82,-74.41,9263.0,45.4,111809.0,48634.0,3521.0,2.63
18,08889,WHITEHOUSE STATION,NJ,"WHITEHOUSE STATION, NJ",New Jersey,40.6,-74.76,9757.0,46.3,123233.0,64047.0,3689.0,2.64
19,07095,WOODBRIDGE,NJ,"WOODBRIDGE, NJ",New Jersey,40.55,-74.28,20176.0,35.9,79202.0,33895.0,7365.0,2.72
20,07481,WYCKOFF,NJ,"WYCKOFF, NJ",New Jersey,40.99,-74.16,17045.0,44.6,131714.0,64038.0,5802.0,2.88
21,10451,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,48188.0,32.0,26048.0,16487.0,18140.0,2.65
22,10452,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,75559.0,30.5,24790.0,13255.0,25432.0,2.94
23,10453,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,80081.0,30.9,23095.0,12377.0,26802.0,2.93
24,10454,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,39012.0,28.1,20210.0,11583.0,12790.0,2.98
25,10455,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,41609.0,30.6,23253.0,12279.0,14023.0,2.88
26,10456,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,91868.0,29.8,23956.0,12553.0,29255.0,3.06
27,10457,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,73763.0,29.6,24750.0,12997.0,23749.0,2.99
28,10458,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,79974.0,29.1,27912.0,14972.0,26349.0,2.91
29,10459,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,47778.0,29.1,23761.0,12847.0,15688.0,3.0
30,10460,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,59512.0,30.7,23209.0,13171.0,19776.0,2.95
31,10461,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,51820.0,37.2,51568.0,26828.0,19086.0,2.64
32,10462,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,78504.0,35.3,45760.0,23220.0,29345.0,2.66
33,10463,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,71981.0,37.9,56482.0,32159.0,27458.0,2.53
34,10464,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,4723.0,47.4,75208.0,38931.0,2024.0,2.32
35,10465,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,45839.0,40.0,73776.0,31168.0,15560.0,2.83
36,10466,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,71138.0,35.8,42478.0,20009.0,22891.0,3.07
37,10467,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,101134.0,33.4,35117.0,17540.0,35178.0,2.83
38,10468,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,73637.0,32.2,34784.0,16383.0,24631.0,2.94
39,10469,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,72732.0,38.1,57207.0,23173.0,22014.0,3.18
40,10470,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,14868.0,38.1,57706.0,28806.0,5747.0,2.57
41,10471,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,21727.0,43.0,80222.0,43332.0,8620.0,2.19
42,10472,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,68654.0,31.2,29308.0,14443.0,21303.0,3.19
43,10473,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,59352.0,36.5,36764.0,19521.0,20624.0,2.86
44,10474,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,12686.0,30.3,26585.0,11884.0,3613.0,3.2
45,10475,BRONX,NY,"BRONX, NY",New York,40.84,-73.87,43913.0,46.1,44923.0,26262.0,18271.0,2.32
47,10001,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,23537.0,35.6,86801.0,80990.0,11639.0,1.93
48,10002,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,80736.0,40.8,33726.0,27867.0,33348.0,2.37
49,10003,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,57112.0,32.1,98151.0,80936.0,27487.0,1.71
50,10004,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,3221.0,33.1,119691.0,90205.0,1574.0,2.05
51,10005,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,8131.0,29.4,124194.0,96940.0,4252.0,1.91
52,10006,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,3110.0,31.4,123691.0,96121.0,1745.0,1.78
53,10007,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,6876.0,35.4,250001.0,184886.0,2781.0,2.16
55,10009,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,60865.0,37.0,59090.0,44839.0,29770.0,2.02
56,10010,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,31447.0,34.6,101718.0,82453.0,16050.0,1.75
57,10011,NEW YORK,NY,"NEW YORK, NY",New York,40.71,-73.99,52349.0,39.5,109818.0,114034.0,29762.0,1.71
