id,zipcode,city,state_abbr,city_state,state,lat,lon,population,median_age,household_income,per_capita_income,monthly_housing_cost,avg_household_size_by_tenure
0,00705,AIBONITO,PR,"AIBONITO, PR",,18.14,-66.26,25575.0,37.1,15930.0,8594.0,8486.0,3.01
1,00610,ANASCO,PR,"ANASCO, PR",,18.28,-67.14,29141.0,38.6,16923.0,7786.0,9181.0,3.16
3,00612,ARECIBO,PR,"ARECIBO, PR",,18.45,-66.73,69017.0,38.1,18111.0,10203.0,23268.0,2.94
4,00601,ADJUNTAS,PR,"ADJUNTAS, PR",,18.16,-66.72,18544.0,36.4,13495.0,7283.0,5477.0,3.37
6,00602,AGUADA,PR,"AGUADA, PR",,18.38,-67.18,41640.0,38.0,15106.0,8247.0,13241.0,3.14
7,00603,AGUADILLA,PR,"AGUADILLA, PR",,18.43,-67.15,54540.0,38.4,15079.0,8913.0,17518.0,3.03
10,00703,AGUAS BUENAS,PR,"AGUAS BUENAS, PR",,18.25,-66.1,29175.0,35.2,13687.0,6828.0,8928.0,3.25
11,00704,AGUIRRE,PR,"AGUIRRE, PR",,17.96,-66.22,7950.0,34.0,13327.0,7443.0,2873.0,2.75
12,07675,WESTWOOD,NJ,"WESTWOOD, NJ",New Jersey,40.98,-74.03,26368.0,42.7,105943.0,51240.0,9373.0,2.8
13,07677,WOODCLIFF LAKE,NJ,"WOODCLIFF LAKE, NJ",New Jersey,41.02,-74.05,5750.0,45.7,125647.0,59620.0,1997.0,2.83
14,07885,WHARTON,NJ,"WHARTON, NJ",New Jersey,40.89,-74.58,9883.0,39.2,76582.0,32193.0,3506.0,2.81
15,07981,WHIPPANY,NJ,"WHIPPANY, NJ",New Jersey,40.82,-74.41,9045.0,42.0,102125.0,42971.0,3314.0,2.72
18,08889,WHITEHOUSE STATION,NJ,"WHITEHOUSE STATION, NJ",New Jersey,40.6,-74.76,10055.0,44.0,119260.0,56161.0,3629.0,2.76
19,07095,WOODBRIDGE,NJ,"WOODBRIDGE, NJ",New Jersey,40.55,-74.28,20596.0,35.1,80641.0,32602.0,7400.0,2.77
